Pt ID;N;E;Z;Depth (m);Date
3;5801136.079;363421.2578;29.6159;0.52;2/25/2025
4;5801114.37;363419.1164;28.92325;0.58;2/25/2025
5;5801092.152;363401.0097;32.66202;0.45;2/25/2025
6;5801078.394;363369.9461;29.07334;0.45;2/25/2025
7;5801075.784;363353.3887;29.02092;0.3;2/25/2025
8;5801065.348;363329.6248;28.93796;0.47;2/25/2025
9;5801041.909;363306.4558;28.94432;0.53;2/25/2025
10;5800998.984;363289.9467;29.38143;0.52;2/25/2025
11;5800953.967;363279.0775;29.3006;0.39;2/25/2025
12;5800911.22;363265.6656;29.17349;0.33;2/25/2025
13;5800880.558;363262.2133;30.30206;0.42;2/25/2025
14;5800847.879;363263.3258;29.19947;0.57;2/25/2025
15;5800812.087;363256.3172;29.0086;0.5;2/25/2025
16;5800772.249;363251.8615;29.12548;0.58;2/25/2025
17;5800758.9;363249.3052;29.00609;0.45;2/25/2025
18;5800721.165;363239.7334;29.03846;0.4;2/25/2025
19;5800687.492;363235.2702;28.91432;0;2/25/2025
22;5800182.02;363532.9455;29.83789;0.25;2/25/2025
23;5800179.442;363570.807;29.83049;0.35;2/25/2025
24;5800166.581;363585.4257;29.78662;0.3;2/25/2025
25;5800132.594;363608.2613;29.64981;0.3;2/25/2025
26;5800137.779;363665.467;29.67898;0.39;2/25/2025
27;5800163.484;363705.4729;30.73769;0.35;2/25/2025
28;5800198.247;363753.4605;30.10896;0.3;2/25/2025
29;5800234.08;363789.0129;33.01288;0.37;2/25/2025
30;5800270.512;363807.5357;30.02605;0.47;2/25/2025
31;5800322.117;363816.3445;29.90803;0.38;2/25/2025
32;5800436.42;363801.8409;29.75847;0.3;2/25/2025
33;5800539.769;363739.2103;29.76828;0.45;2/25/2025
34;5800565.923;363738.5952;29.84871;0.33;2/25/2025
35;5800601.721;363735.6595;29.7975;0.4;2/25/2025
36;5800659.541;363721.9928;29.78751;0.35;2/25/2025
37;5800689.48;363707.9003;35.38636;0;2/25/2025
38;5800736.907;363682.2506;30.0372;0.4;2/25/2025
39;5800826.653;363636.4229;29.66736;0.4;2/25/2025
41;5800888.514;363690.0643;34.15508;0.3;2/25/2025
42;5800911.794;363697.9555;29.66393;0.35;2/25/2025
43;5800931.707;363699.6061;32.30569;0.18;2/25/2025
40;5800805.442;363633.0466;30.14211;0;2/25/2025
